timestamp,mode,endpoint,video_id,prompt_tokens,output_tokens,total_tokens,latency_ms,triggered,note
2026-05-09T08:20:36.592265Z,baseline,analyze_frame,_QVQCHGn0mM,1442,55,1497,3115.4,False,t=396s
2026-05-09T08:20:41.050076Z,baseline,analyze_frame,_QVQCHGn0mM,1442,80,1522,3517.8,False,t=400s
2026-05-09T08:20:44.849780Z,baseline,analyze_frame,_QVQCHGn0mM,1442,97,1539,3491.3,False,t=404s
2026-05-09T08:20:48.726541Z,baseline,analyze_frame,_QVQCHGn0mM,1442,47,1489,3352.4,False,t=408s
2026-05-09T08:20:55.288345Z,baseline,analyze_frame,_QVQCHGn0mM,1442,75,1517,6054.3,False,t=412s
2026-05-09T08:20:56.718451Z,baseline,analyze_frame,_QVQCHGn0mM,1442,72,1514,3487.0,False,t=416s
2026-05-09T08:21:01.429392Z,baseline,analyze_frame,_QVQCHGn0mM,1442,76,1518,3788.3,False,t=420s
2026-05-09T08:21:04.299460Z,baseline,analyze_frame,_QVQCHGn0mM,1442,63,1505,2876.8,False,t=424s
2026-05-09T08:21:10.680790Z,baseline,analyze_frame,_QVQCHGn0mM,1442,74,1516,5308.1,False,t=428s
2026-05-09T08:21:13.167430Z,baseline,analyze_frame,_QVQCHGn0mM,1442,68,1510,3617.0,False,t=432s
2026-05-09T08:21:16.629036Z,baseline,analyze_frame,_QVQCHGn0mM,1442,81,1523,3200.7,False,t=436s
2026-05-09T08:21:21.290832Z,baseline,analyze_frame,_QVQCHGn0mM,1442,68,1510,3895.5,False,t=440s
2026-05-09T08:21:24.296387Z,baseline,analyze_frame,_QVQCHGn0mM,1442,67,1509,2957.9,False,t=444s
2026-05-09T08:21:28.868842Z,baseline,analyze_frame,_QVQCHGn0mM,1442,84,1526,3559.9,False,t=448s
2026-05-09T08:21:32.865374Z,baseline,analyze_frame,_QVQCHGn0mM,1442,70,1512,3644.7,False,t=452s
2026-05-09T08:21:36.548836Z,baseline,analyze_frame,_QVQCHGn0mM,1442,71,1513,3234.9,False,t=456s
2026-05-09T08:21:40.747106Z,baseline,analyze_frame,_QVQCHGn0mM,1442,99,1541,3209.6,False,t=460s
2026-05-09T08:21:45.769179Z,baseline,analyze_frame,_QVQCHGn0mM,1442,57,1499,4334.6,False,t=464s
2026-05-09T08:21:50.785279Z,baseline,analyze_frame,_QVQCHGn0mM,1442,75,1517,5297.5,False,t=468s
